header,txtype,sequence,qty,source,destination,period,pvt_key1
Post-Genesis Purchases 1,,,,,,,
Account,,,,,,,
,,,,,,,
Axiom Foundation,ReleaseFromEndowment,201,1135.76,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,201-RFE.sb
Axiom Foundation,TransferAndLock,202,1135.76,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndagr8aa3hi6dvt7sxh6pmdgvmhn8ya39bcw77aynf6t5cw8,1y,202-TandL.sb
Axiom Foundation,Issue,203,1135.76,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,,203-Issue.sb
,,,,,,,
Axiom Foundation,ReleaseFromEndowment,204,1417.8,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,204-RFE.sb
Axiom Foundation,TransferAndLock,205,1417.8,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndaisr2cfvux4ccmwzbs9z3kepszazmxmthixp55h82eab7r,1y,205-TandL.sb
Axiom Foundation,Issue,206,1417.8,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,,206-Issue.sb
,,,,,,,
Axiom Foundation,ReleaseFromEndowment,207,566.2,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,207-RFE.sb
Axiom Foundation,TransferAndLock,208,566.2,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndamw7hhmphwscmjx9kahd3f5t2k7vhiz37q965y7rqt38kc,2y,208-TandL.sb
Axiom Foundation,Issue,209,566.2,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,,209-Issue.sb
,,,,,,,
Axiom Foundation,ReleaseFromEndowment,210,1000,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,210-RFE.sb
Axiom Foundation,TransferAndLock,211,1000,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndancmemuux6dtsen5rr7g23wm7tiiwraj2nhazw4vt7vg2w,3y,211-TandL.sb
Axiom Foundation,Issue,212,1000,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,,212-Issue.sb
,,,,,,,
Axiom Foundation,ReleaseFromEndowment,213,1000,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,213-RFE.sb
Axiom Foundation,TransferAndLock,214,1000,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,ndajre27nkfn2vffgsws69n4y8wjt5xi368c6tsbnsaccqkz,3y,214-TandL.sb
Axiom Foundation,Issue,215,1000,ndeeh86uun6us9cenuck2uur679e37uczsmys33794gnvtfz,,,215-Issue.sb